# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
1.832219385546446813e-91	3.493543213640893899e-92	-3.080040817095090368e-92	9.667206235423162787e-94	5.061645088674098328e-94	8.165852135334013409e-94	1.904364190222671769e-93
8.752197629407865983e-88	1.667641202356411257e-88	-1.466206667549995930e-88	1.951863197181231284e-90	2.890652401633000510e-90	3.860950712593641436e-90	8.539625025827586359e-90
1.548794461900241880e-84	2.948712932766402121e-85	-2.583788942679016664e-85	-2.417762811760414255e-87	6.120660268106800553e-87	6.787086669002558780e-87	1.396145823679781539e-86
-2.564831189147835393e-81	-4.896641077674294667e-82	4.341681155117070174e-82	-3.018276318341904022e-83	-4.245321483304854380e-84	-1.150280874430639237e-83	-2.980082047417795812e-83
-2.447317564090355525e-77	-4.664696342638963178e-78	4.107240326084254374e-78	-9.332577842126971042e-80	-7.352326275126103752e-80	-1.086658023796928856e-79	-2.469750465430692193e-79
-6.504272015598207142e-74	-1.239006418335938900e-74	1.087978350649108604e-74	-4.255278019699934393e-77	-2.282622571116431836e-76	-2.894828075892062221e-76	-6.200813363706267310e-76
4.479605150571313035e-72	8.815840666428869373e-73	-8.926619330990136993e-73	8.333702712151702477e-73	-1.150319251691350578e-73	1.420176233751635229e-74	1.837984609435788915e-73
6.537913506736190831e-67	1.246485883605856710e-67	-1.099069838271940778e-67	3.567636859836494281e-69	1.786173425358744166e-69	2.895322912591935121e-69	6.776126176834880482e-69
2.169582196684535115e-63	4.133883760607969237e-64	-3.634029953540668994e-64	3.938489018111009606e-66	7.086126300031993914e-66	9.725588199943037677e-66	2.124490207052860970e-65
5.367641954190117021e-61	1.015031822648108798e-61	-8.571533965285376019e-62	-2.488949911614485394e-62	5.368811550287099656e-63	2.961593295322856722e-63	1.487667994700202038e-63
-2.000290470699595787e-56	-3.813908131882268377e-57	3.364854858450716313e-57	-1.248699076020941770e-58	-5.260351463117045485e-59	-8.784058439061638946e-59	-2.087917737573178293e-58
-6.207078552593940558e-53	-1.182710663246663655e-53	1.039845135320572399e-53	-1.132088766361852813e-55	-1.981732346457233401e-55	-2.805849760216586825e-55	-6.111066191721233298e-55
4.248601583493408931e-50	8.121223103958914246e-51	-7.265442785429536295e-51	1.052332945121294323e-51	2.010845925140216509e-53	1.567103809080168823e-52	5.377413369906969763e-52
7.252934910778038303e-46	1.382656695489536511e-46	-1.218983307367350765e-46	3.896177858740946125e-48	1.993715393233031362e-48	3.189121273992061620e-48	7.457198890958538171e-48
9.097133781046128506e-43	1.732144243889644898e-43	-1.516981819834524884e-43	-3.410904034800669654e-45	3.309102639596973532e-45	4.392758132635849998e-45	8.462999872534433151e-45
-6.209580283438485973e-39	-1.184111389403524229e-39	1.045819252292994446e-39	-4.943840244071264599e-41	-1.571954103617739180e-41	-2.635934196441616690e-41	-6.526110579308053891e-41
-1.428602286532996760e-35	-2.721843239927226667e-36	2.392555762502954019e-36	-1.547683777951015675e-38	-4.378008179257736630e-38	-6.620389910225122964e-38	-1.407500485022558312e-37
6.421264682769280797e-32	1.224543404059023585e-32	-1.081905930549528061e-32	5.600638203205012883e-34	1.648891395695843583e-34	2.664778171635544498e-34	6.748010760238365746e-34
9.373207644422902487e-29	1.785294245000111366e-29	-1.567330904863570423e-29	-1.160574429878927692e-31	2.837952653168120280e-31	4.537796377692290259e-31	9.092527782120834684e-31
-8.797329600733057586e-25	-1.677317927986990282e-25	1.480313190287639645e-25	-6.381176422524896117e-27	-2.401768645537711954e-27	-3.702209791086126996e-27	-9.091722826382647658e-27
2.209533942167180083e-21	4.214145448635602368e-22	-3.724506898577691269e-22	2.199079505657303438e-23	6.147130538439469994e-24	8.744811701838988471e-24	2.318835426966627665e-23
-3.149784725328707719e-18	-6.009425986587217188e-19	5.316664462353274400e-19	-3.881796516168360341e-20	-9.345602358698548451e-21	-1.165314169305795287e-20	-3.345239858835429460e-20
2.895850977125935699e-15	5.527313302303864009e-16	-4.894284281626337279e-16	4.305254142361615322e-17	9.582872729818034395e-18	9.816646070201495876e-18	3.116298823648510370e-17
-1.777908004350559361e-12	-3.395647371623979031e-13	3.008757960822982619e-13	-3.175546466432449234e-14	-6.868005309873505569e-15	-5.324977746599372505e-15	-1.947662259072648416e-14
